id,description,description_cleaned,source,page
Nepal_Polytechnic_Civil_p96_l17,23Constructing brick masonry circular type manhole 0.91 m internal dia at bottom and,23constructing brick masonry circular type manhole 0.91 meter internal diameter at bottom and,Nepal_Polytechnic_Civil,96
Nepal_Polytechnic_Civil_p96_l18,"0.56m dia at top in cement mortar 1:4 (1 cement :4 coarse sand), in side cement plaster12 mm thick with cement mortar 1:3 (1 cement : 3 coarse sand) finished with a floatingcoat of neat cement, foundation concrete 1:3:6 mix (1 cement : 3 coarse sand : 6graded stone aggregate 40 mm nominal size), and making necessary channel in cementconcrete 1:2:4 (1 cement : 2 coarse sand : 4 graded stone aggregate 20 mm nominalsize) finished with a floating coat of neat cement, all complete as per standard design :",0.56m diameter at top in cement mortar 1 4 1 cement 4 coarse sand in side cement plaster12 millimeter thick with cement mortar 1 3 1 cement 3 coarse sand finished with floatingcoat of neat cement foundation concrete 1 3 6 mix 1 cement 3 coarse sand 6graded stone aggregate 40 millimeter nominal size and making necessary channel in cementconcrete 1 2 4 1 cement 2 coarse sand 4 graded stone aggregate 20 millimeter nominalsize finished with floating coat of neat cement all complete as per standard design,Nepal_Polytechnic_Civil,96
Nepal_Polytechnic_Civil_p96_l20,"560 mm internal diameter conforming to I.S. 12592, total weight of cover and frame tobe not less than 182 kg., fixed in cement concrete 1:2:4 (1 cement : 2 coarse sand : 4graded stone aggregate 20 mm nominal size) including centering, shuttering allcomplete. (Excavation, foot rests and 12mm thick cement plaster at the external surfaceshall be paid for separately) :",560 millimeter internal diameter conforming to i.s. 12592 total weight of cover and frame tobe not less than 182 kilogram. fixed in cement concrete 1 2 4 1 cement 2 coarse sand 4graded stone aggregate 20 millimeter nominal size including centering shuttering allcomplete. excavation foot rests and 12mm thick cement plaster at the external surfaceshall be paid for separately,Nepal_Polytechnic_Civil,96
Nepal_Polytechnic_Civil_p96_l21,b)With common burnt clay F .P .S. (non modular) bricks of,with common burnt clay .p .s. non modular bricks of,Nepal_Polytechnic_Civil,96
Nepal_Polytechnic_Civil_p96_l23,24Extra depth for circular type manhole 0.91m internal dia (at bottom) beyond 0.91 m to,24extra depth for circular type manhole 0.91m internal diameter at bottom beyond 0.91 meter to,Nepal_Polytechnic_Civil,96
Nepal_Polytechnic_Civil_p97_l2,25Constructing brick masonry circular manhole 1.22 m internal dia at bottom and 0.56 m,25constructing brick masonry circular manhole 1.22 meter internal diameter at bottom and 0.56 meter,Nepal_Polytechnic_Civil,97
Nepal_Polytechnic_Civil_p97_l3,"dia at top in cement mortar 1:4 (1 cement :4 coarse sand) inside cement plaster 12 mmthick with cement mortar 1:3 (1 cement : 3 coarse sand) finished with a floating coat ofneat cement foundation concrete 1:3:6 (1 cement : 3 coarse sand : 6 graded stoneaggregate 40 mm nominal size) and making necessary channel in cement concrete1:2:4 (1 cement : 2 coarse sand : 4 graded stone aggregate 20 mm nominal size)finished with a floating coat of neat cement, all complete as per standard design :",diameter at top in cement mortar 1 4 1 cement 4 coarse sand inside cement plaster 12 mmthick with cement mortar 1 3 1 cement 3 coarse sand finished with floating coat ofneat cement foundation concrete 1 3 6 1 cement 3 coarse sand 6 graded stoneaggregate 40 millimeter nominal size and making necessary channel in cement concrete1 2 4 1 cement 2 coarse sand 4 graded stone aggregate 20 millimeter nominal size finished with floating coat of neat cement all complete as per standard design,Nepal_Polytechnic_Civil,97
Nepal_Polytechnic_Civil_p97_l5,"mm internal diameter conforming to I.S. 12592, total weight of cover and frame to be notless than 182 kg. fixed in cement concrete 1:2:4 (1 cement : 2 coarse sand : 4 gradedstone aggregate 20 mm nominal size) including centering, shuttering all complete.(Excavation, foot rests and 12 mm thick cement plaster at the external surface shall bepaid for separately) :",millimeter internal diameter conforming to i.s. 12592 total weight of cover and frame to be notless than 182 kilogram. fixed in cement concrete 1 2 4 1 cement 2 coarse sand 4 gradedstone aggregate 20 millimeter nominal size including centering shuttering all complete. excavation foot rests and 12 millimeter thick cement plaster at the external surface shall bepaid for separately,Nepal_Polytechnic_Civil,97
Nepal_Polytechnic_Civil_p97_l6,b)With common burnt clay F .P .S. (non modular) bricks o,with common burnt clay .p .s. non modular bricks,Nepal_Polytechnic_Civil,97
Nepal_Polytechnic_Civil_p97_l9,26Providing M.S. foot rests including fixing in manholes with 20x20x10 cm cement,26providing meter.s. foot rests including fixing in manholes with 20x20x10 centimeter cement,Nepal_Polytechnic_Civil,97
